Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A_1 Spectral Count	A_2 Spectral Count	A_3 Spectral Count	B_1 Spectral Count	B_2 Spectral Count	B_3 Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	D_1 Spectral Count	D_2 Spectral Count	D_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	A_1 Unique Spectral Count	A_2 Unique Spectral Count	A_3 Unique Spectral Count	B_1 Unique Spectral Count	B_2 Unique Spectral Count	B_3 Unique Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	D_1 Unique Spectral Count	D_2 Unique Spectral Count	D_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	A_1 Total Spectral Count	A_2 Total Spectral Count	A_3 Total Spectral Count	B_1 Total Spectral Count	B_2 Total Spectral Count	B_3 Total Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	D_1 Total Spectral Count	D_2 Total Spectral Count	D_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	A_1 Intensity	A_2 Intensity	A_3 Intensity	B_1 Intensity	B_2 Intensity	B_3 Intensity	C_1 Intensity	C_2 Intensity	C_3 Intensity	D_1 Intensity	D_2 Intensity	D_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	A_1 MaxLFQ Intensity	A_2 MaxLFQ Intensity	A_3 MaxLFQ Intensity	B_1 MaxLFQ Intensity	B_2 MaxLFQ Intensity	B_3 MaxLFQ Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	D_1 MaxLFQ Intensity	D_2 MaxLFQ Intensity	D_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P32802|TMN1_YEAST	P32802	TMN1_YEAST	EMP70	667	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Transmembrane 9 superfamily member 1	1.0	0.999	4	10	4	10	1	2	1	1	1	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	2	1	1	1	2	2	0	0	0	0	0	0	0	0	1121097.2	1104127.9	996322.5	1256579.0	1094906.2	852342.2	502595.1	444229.22	676397.0	517570.9	377060.62	331359.3	256768.78	0.0	327623.44	439256.84	425874.06	403403.7	487196.1	447336.8	510189.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32803|EMP24_YEAST	P32803	EMP24_YEAST	EMP24	203	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Endosomal protein P24B	1.0	0.999	3	19	19	19	2	2	2	1	3	2	3	1	1	1	0	0	0	0	1	2	2	2	1	3	2	3	1	1	1	0	0	0	0	1	2	2	2	1	3	2	3	1	1	1	0	0	0	0	1	1411128.8	1346093.9	1133023.4	1561596.9	1545661.9	1167234.8	1649293.8	1682311.5	1869690.5	1571166.5	1679529.5	1700061.0	1463426.9	1173107.4	938330.6	833558.5	768421.4	619132.6	928044.56	924522.75	709024.5	969050.94	1013862.94	1101620.4	886505.44	959641.06	995700.8	862058.4	683626.8	561625.0	
sp|P32831|NGR1_YEAST	P32831	NGR1_YEAST	NGR1	672	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Negative growth regulatory protein NGR1	1.0	0.9988	4	4	4	4	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	59571.125	0.0	0.0	63844.473	62049.242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120363.27	0.0	0.0	0.0	37722.04	35811.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32832|RSC7_YEAST	P32832	RSC7_YEAST	NPL6	435	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Chromatin structure-remodeling complex subunit RSC7	0.9624	0.9989	1	8	8	8	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0.0	179256.08	70146.09	136606.77	237619.3	273985.0	128055.07	190628.92	120552.7	152646.89	99077.76	0.0	0.0	36617.688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32835|GSP1_YEAST	P32835	GSP1_YEAST	GSP1	219	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	GTP-binding nuclear protein GSP1/CNR1	1.0	0.999	9	104	19	104	9	10	9	8	8	8	6	6	6	6	6	6	4	6	6	2	2	2	1	2	2	1	1	1	1	1	1	0	1	1	9	10	9	8	8	8	6	6	6	6	6	6	4	6	6	4.6567396E7	4.5089384E7	4.517948E7	4.3435176E7	4.4335708E7	4.3992788E7	4.2454116E7	5.091792E7	3.7049136E7	4.780387E7	4.9249108E7	4.8857612E7	5.0742844E7	4.8655624E7	4.770123E7	1.9403362E7	1.8999502E7	1.8566848E7	1.8778398E7	1.9413618E7	1.7457972E7	1.8477136E7	1.724308E7	1.0859227E7	1.5738641E7	1.7919656E7	1.6767489E7	1.9138964E7	1.6507396E7	1.6742694E7	
sp|P32836|GSP2_YEAST	P32836	GSP2_YEAST	GSP2	220	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	GTP-binding nuclear protein GSP2/CNR2	0.9998	0.999	9	12	12	97	1	1	1	1	1	1	1	1	1	2	0	0	0	1	0	1	1	1	1	1	1	1	1	1	2	0	0	0	1	0	8	9	8	8	7	7	6	6	6	7	5	5	4	6	5	2824237.0	2720949.5	2852591.5	2704701.0	2899660.0	2352999.0	2266287.0	2372319.5	1659590.1	2284007.8	2791812.0	3237093.5	0.0	3176278.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32839|BCS1_YEAST	P32839	BCS1_YEAST	BCS1	456	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial chaperone BCS1	0.999	0.999	2	2	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	220861.69	224299.0	0.0	232776.03	293119.6	23538.963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32843|YME2_YEAST	P32843	YME2_YEAST	YME2	850	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial escape protein 2	1.0	0.999	12	84	84	84	9	9	6	6	8	7	6	4	5	4	4	5	1	5	5	9	9	6	6	8	7	6	4	5	4	4	5	1	5	5	9	9	6	6	8	7	6	4	5	4	4	5	1	5	5	7463341.0	6849570.5	6624525.5	7482594.5	7430171.0	5101818.0	6349997.5	5760796.5	5199008.5	5436245.0	4285907.5	4698001.5	4358639.5	4799951.0	5537587.5	1398506.1	1388568.5	1365482.1	1447569.8	1390934.5	1186177.0	1249622.6	1256493.9	1015063.7	1233875.5	1228187.1	1340968.2	1546661.5	1309476.9	1202054.2	
sp|P32857|PTM1_YEAST	P32857	PTM1_YEAST	PTM1	523	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Membrane protein PTM1	0.9999	0.999	2	3	3	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	29305.852	0.0	0.0	0.0	63095.035	0.0	76042.375	59536.996	0.0	0.0	130182.914	192002.12	95104.58	112166.734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32860|NFU1_YEAST	P32860	NFU1_YEAST	NFU1	256	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	NifU-like protein, mitochondrial	1.0	0.999	8	53	53	53	5	7	6	7	6	6	4	0	2	2	3	2	1	1	1	5	7	6	7	6	6	4	0	2	2	3	2	1	1	1	5	7	6	7	6	6	4	0	2	2	3	2	1	1	1	4751797.0	4025115.5	4463154.5	4863471.0	5030351.0	5125695.0	3448674.8	2220584.0	849883.6	3255291.0	2161501.5	2167843.5	3069125.5	2652452.5	1466646.8	1215842.0	1248941.0	1132321.1	1321419.0	1322836.0	1083080.9	1041235.94	940278.3	609816.3	1123579.0	755805.25	841161.44	898489.6	753364.94	833640.8	
sp|P32861|UGPA1_YEAST	P32861	UGPA1_YEAST	UGP1	499	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	UTP--glucose-1-phosphate uridylyltransferase	1.0	0.999	10	127	127	127	9	11	10	11	10	11	6	7	6	5	9	9	6	9	8	9	11	10	11	10	11	6	7	6	5	9	9	6	9	8	9	11	10	11	10	11	6	7	6	5	9	9	6	9	8	3.3702252E7	3.5142556E7	3.0870626E7	3.6247484E7	2.9394862E7	3.7460572E7	3.0678802E7	3.0330034E7	2.2038648E7	2.7225624E7	2.1959326E7	2.0756828E7	2.3524864E7	2.4466778E7	2.958194E7	6929949.0	7348267.0	6976908.0	7574683.0	7267350.0	7510220.5	6140240.5	6292612.5	5817109.5	5864802.0	6077404.5	5803914.5	6025964.5	6439725.5	6483844.0	
sp|P32875|LIPA_YEAST	P32875	LIPA_YEAST	LIP5	414	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Lipoyl synthase, mitochondrial	0.8632	0.9956	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32891|DLD1_YEAST	P32891	DLD1_YEAST	DLD1	587	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	D-lactate dehydrogenase [cytochrome] 1, mitochondrial	1.0	0.999	15	117	117	117	10	7	11	8	13	13	8	6	3	4	6	7	7	7	7	10	7	11	8	13	13	8	6	3	4	6	7	7	7	7	10	7	11	8	13	13	8	6	3	4	6	7	7	7	7	2.715476E7	2.5730884E7	2.6103912E7	2.8341938E7	2.7588526E7	2.8151012E7	1.8580756E7	2.1177284E7	1.5280683E7	1.6563366E7	1.9026944E7	1.972934E7	2.0357572E7	2.1760108E7	1.7454276E7	5495731.0	5354278.5	5380306.0	5661010.5	5555389.5	5723381.5	4582896.0	5149879.5	3393916.2	4774133.0	4534435.5	4498244.0	4705789.0	4864568.0	4820631.5	
sp|P32897|TIM23_YEAST	P32897	TIM23_YEAST	TIM23	222	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial import inner membrane translocase subunit TIM23	1.0	0.999	4	12	12	12	1	1	2	2	2	2	0	0	0	0	0	1	0	1	0	1	1	2	2	2	2	0	0	0	0	0	1	0	1	0	1	1	2	2	2	2	0	0	0	0	0	1	0	1	0	1828781.4	1625659.2	1572479.1	1522577.2	1656047.2	1598019.5	1259472.2	606993.1	172683.31	1135069.2	1139894.4	1205091.5	972498.5	999003.6	1024546.9	821537.1	594187.0	605432.25	656601.06	745651.6	644876.94	980696.9	1229176.2	0.0	777181.7	770565.0	821524.25	1911716.2	683177.0	707667.94	
sp|P32898|PREP_YEAST	P32898	PREP_YEAST	CYM1	989	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Presequence protease, mitochondrial	1.0	0.999	12	53	53	53	6	7	7	5	8	7	4	3	3	1	0	1	0	0	1	6	7	7	5	8	7	4	3	3	1	0	1	0	0	1	6	7	7	5	8	7	4	3	3	1	0	1	0	0	1	2728834.2	2795654.8	2731292.2	2388052.8	2677024.0	2919378.5	2303250.0	2242984.5	1945125.0	1647886.6	1572875.5	1119366.1	1235034.0	1185108.6	1736832.2	868428.75	916781.5	880467.94	976375.8	1007964.4	903904.75	613767.56	643881.25	794893.75	740278.06	598882.5	437453.84	668914.44	654605.0	706621.44	
sp|P32901|PTR2_YEAST	P32901	PTR2_YEAST	PTR2	601	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Peptide transporter PTR2	0.9999	0.9988	2	8	8	8	1	3	0	1	0	1	1	0	0	0	0	1	0	0	0	1	3	0	1	0	1	1	0	0	0	0	1	0	0	0	1	3	0	1	0	1	1	0	0	0	0	1	0	0	0	64595.81	47520.348	0.0	61660.785	51189.895	14674.917	0.0	0.0	0.0	0.0	26577.51	51798.535	37017.867	0.0	42288.562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32902|RT04_YEAST	P32902	RT04_YEAST	MRP4	394	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Small ribosomal subunit protein uS2m	1.0	0.999	3	19	19	19	1	1	1	2	1	3	2	0	1	1	1	2	1	1	1	1	1	1	2	1	3	2	0	1	1	1	2	1	1	1	1	1	1	2	1	3	2	0	1	1	1	2	1	1	1	1859988.2	1593421.8	1646758.4	1931174.8	1873352.2	1958213.8	1640129.5	1901591.2	1506257.1	1750859.5	1800063.8	1997919.2	822895.75	1211496.2	1839663.0	834751.25	735912.8	751095.94	884033.06	835477.06	880322.75	694433.3	790071.06	804932.75	810144.6	786924.2	759282.25	705375.06	1022941.4	807660.06	
sp|P32904|RM06_YEAST	P32904	RM06_YEAST	MRPL6	214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Large ribosomal subunit protein uL6m	1.0	0.999	4	31	31	31	3	4	3	2	2	2	2	3	2	3	1	2	0	1	1	3	4	3	2	2	2	2	3	2	3	1	2	0	1	1	3	4	3	2	2	2	2	3	2	3	1	2	0	1	1	1487598.9	1391476.2	1051215.8	1459206.6	1604019.6	1471587.2	990434.44	1110378.5	1088078.2	1115085.5	949301.4	868886.9	639957.06	423722.9	743955.6	604828.5	534769.8	615387.2	562660.3	623206.94	546745.44	380705.97	427086.03	426932.12	422478.8	483054.7	505489.3	350813.3	226489.31	430517.84	
sp|P32906|MNS1_YEAST	P32906	MNS1_YEAST	MNS1	549	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	0.9583	0.9988	1	2	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	41713.23	0.0	0.0	42706.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32907|ATO2_YEAST	P32907	ATO2_YEAST	ATO2	282	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ammonia transport outward protein 2	0.9999	0.9989	2	16	16	16	1	1	2	1	1	1	1	1	2	1	1	0	0	2	1	1	1	2	1	1	1	1	1	2	1	1	0	0	2	1	1	1	2	1	1	1	1	1	2	1	1	0	0	2	1	499707.44	497901.8	522333.44	504801.16	503267.06	480817.66	456065.47	719108.75	0.0	0.0	0.0	0.0	0.0	596590.0	174270.19	0.0	0.0	477092.12	0.0	453557.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32909|SMY2_YEAST	P32909	SMY2_YEAST	SMY2	740	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein SMY2	0.9254	0.9978	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32911|SUI1_YEAST	P32911	SUI1_YEAST	SUI1	108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Eukaryotic translation initiation factor eIF-1	1.0	0.999	3	32	32	32	3	2	2	2	2	2	1	3	0	2	2	3	3	2	3	3	2	2	2	2	2	1	3	0	2	2	3	3	2	3	3	2	2	2	2	2	1	3	0	2	2	3	3	2	3	1925714.6	1053565.5	1332302.8	1940724.8	2376617.5	1724881.4	2230871.5	2308227.0	499556.94	2884247.8	3209798.5	3808330.2	4458651.5	2879124.8	3391483.2	1534462.2	0.0	881781.3	1280319.5	1648158.2	1065223.6	1607511.5	1431610.8	0.0	1774162.9	2472642.0	3943139.2	4303884.5	3001226.0	3004171.5	
sp|P32913|VPS17_YEAST	P32913	VPS17_YEAST	VPS17	551	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 17	1.0	0.9983	2	7	7	7	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	364328.47	393258.7	333635.4	409487.25	372133.78	308019.88	272717.1	28712.94	29049.887	0.0	35526.805	45613.023	0.0	48072.066	70644.266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32915|SC61A_YEAST	P32915	SC61A_YEAST	SEC61	480	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein transport protein SEC61	1.0	0.999	4	27	27	27	3	3	3	2	2	2	3	2	2	2	0	2	0	1	0	3	3	3	2	2	2	3	2	2	2	0	2	0	1	0	3	3	3	2	2	2	3	2	2	2	0	2	0	1	0	3391036.0	3491078.8	3238746.2	3395754.5	3210411.0	3657885.5	3953998.5	3506021.8	3045281.0	2703367.5	2167146.0	2298598.0	1735862.9	2316726.0	2246552.5	1671497.1	1744530.0	1658766.1	1709199.1	1615004.0	1804264.5	1798144.5	1758898.8	1547653.0	1374417.9	1186955.0	1193537.5	1101635.8	1186541.6	1188713.8	
sp|P32939|YPT7_YEAST	P32939	YPT7_YEAST	YPT7	208	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ypt/Rab-type GTPase YPT7	1.0	0.999	3	31	31	31	3	1	2	2	2	3	2	3	1	2	3	2	1	2	2	3	1	2	2	2	3	2	3	1	2	3	2	1	2	2	3	1	2	2	2	3	2	3	1	2	3	2	1	2	2	2861867.0	2639932.5	2603402.2	3043634.5	2851273.8	2759443.8	2946867.0	2270077.5	2247287.0	2126623.0	2059416.5	2496162.2	2464749.5	2687883.2	2612842.0	1621049.4	1025737.0	1168085.0	1576885.4	1534600.8	1387645.1	2574456.8	1853477.8	0.0	1281260.0	2043437.1	2591174.2	2545779.5	2609989.2	2763977.2	
sp|P33204|ARPC4_YEAST	P33204	ARPC4_YEAST	ARC19	171	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 4	1.0	0.999	3	36	36	36	2	3	3	2	2	3	2	3	3	2	2	3	2	2	2	2	3	3	2	2	3	2	3	3	2	2	3	2	2	2	2	3	3	2	2	3	2	3	3	2	2	3	2	2	2	1567105.9	1260905.9	1495113.8	1473364.5	1737505.9	1356294.1	1805829.4	1624323.8	828939.5	1812885.4	2141878.8	2257259.2	1697588.0	1754703.4	1560631.2	810719.94	631407.56	768773.0	758618.0	901788.25	751392.5	935074.3	822034.1	268089.03	937615.4	1168519.2	1190292.0	1288549.4	906333.75	823371.1	
sp|P33297|PRS6A_YEAST	P33297	PRS6A_YEAST	RPT5	434	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit 6A	1.0	0.999	10	78	78	78	8	5	7	4	8	6	6	4	4	4	5	5	3	4	5	8	5	7	4	8	6	6	4	4	4	5	5	3	4	5	8	5	7	4	8	6	6	4	4	4	5	5	3	4	5	1.0356644E7	7989369.0	8957035.0	8064618.0	1.0003814E7	1.1029515E7	6502932.5	6235640.5	7270752.0	5950123.5	9917956.0	8621021.0	8102054.5	6259353.0	5625277.0	2753464.0	3076516.8	2707773.2	2536517.0	2734923.8	2481496.2	3064789.8	3004892.2	2389888.5	3034082.5	3571910.0	3527639.5	3241077.5	2987391.0	2917190.0	
sp|P33298|PRS6B_YEAST	P33298	PRS6B_YEAST	RPT3	428	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit 6B homolog	1.0	0.9986	9	24	24	46	2	2	3	1	2	1	1	3	2	2	1	2	0	0	2	2	2	3	1	2	1	1	3	2	2	1	2	0	0	2	4	4	5	3	4	3	3	5	4	3	2	2	0	1	3	6027454.5	4735983.0	4934580.0	6002107.5	5743474.0	4956034.5	5354803.0	7898011.0	6224865.5	5155214.0	5114573.0	4235079.5	4700973.0	5106830.0	6172123.0	2234149.5	2328433.5	2435772.5	2347910.5	2159036.8	2401699.0	2445084.0	2980710.2	2315597.8	2494015.2	2061364.4	1965100.9	2058341.1	2476862.0	2242093.8	
sp|P33299|PRS7_YEAST	P33299	PRS7_YEAST	RPT1	467	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit 7 homolog	1.0	0.999	13	120	104	120	10	9	10	12	11	10	9	6	8	7	7	6	5	5	5	9	8	9	11	10	9	8	5	6	6	6	5	4	4	4	10	9	10	12	11	10	9	6	8	7	7	6	5	5	5	1.17903E7	1.038613E7	1.251586E7	1.5046167E7	1.1276049E7	1.0407534E7	1.4452476E7	1.2509791E7	7738649.0	1.0459174E7	1.0816707E7	9374094.0	7833565.5	9423274.0	9101168.0	2287767.8	2292647.8	2295250.5	2336187.8	2379722.2	2352836.8	2359403.2	2494178.0	1910470.0	2343131.5	2402790.8	2554171.0	2507731.2	2438742.8	2498345.8	
sp|P33303|SFC1_YEAST	P33303	SFC1_YEAST	SFC1	322	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Succinate/fumarate mitochondrial transporter	1.0	0.999	11	117	117	117	14	12	10	13	12	10	7	6	4	6	3	6	5	5	4	14	12	10	13	12	10	7	6	4	6	3	6	5	5	4	14	12	10	13	12	10	7	6	4	6	3	6	5	5	4	3.6364972E7	3.791569E7	4.041382E7	3.8309776E7	3.909237E7	3.5325252E7	2.9425396E7	3.1927566E7	2.6591458E7	3.2098784E7	2.6615974E7	3.156598E7	2.8979682E7	3.1434904E7	3.5155264E7	7211204.0	7430505.0	8030276.0	8090182.0	7705793.0	7463807.0	6902054.5	6774755.5	6134413.5	6662721.0	6633702.0	6612035.5	6152858.0	6521168.5	7083961.5	
sp|P33307|CSE1_YEAST	P33307	CSE1_YEAST	CSE1	960	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Importin alpha re-exporter	1.0	0.9989	5	13	13	13	2	2	3	1	2	1	0	1	1	0	0	0	0	0	0	2	2	3	1	2	1	0	1	1	0	0	0	0	0	0	2	2	3	1	2	1	0	1	1	0	0	0	0	0	0	1119467.5	485145.2	1143081.2	1173162.2	1126711.8	950441.25	262848.16	233192.31	80206.41	84400.85	248134.16	90954.92	0.0	98930.74	0.0	411778.75	385356.3	427389.4	424068.28	440135.2	429252.03	0.0	0.0	0.0	0.0	272594.9	0.0	0.0	0.0	0.0	
sp|P33309|DOM34_YEAST	P33309	DOM34_YEAST	DOM34	386	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein DOM34	0.9835	0.9913	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	417669.4	390494.16	356185.72	373719.9	348575.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P33310|MDL1_YEAST	P33310	MDL1_YEAST	MDL1	695	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATP-dependent permease MDL1, mitochondrial	0.9601	0.9989	1	5	5	5	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	58782.754	58252.016	77067.29	87934.01	87865.75	68022.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P33311|MDL2_YEAST	P33311	MDL2_YEAST	MDL2	773	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATP-dependent permease MDL2, mitochondrial	0.9993	0.9982	2	7	7	7	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	64591.05	56760.406	75955.836	47426.11	80757.13	54259.785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P33315|TKT2_YEAST	P33315	TKT2_YEAST	TKL2	681	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Transketolase 2	0.9482	0.9959	2	4	4	13	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	2	1	2	2	1	2	1	0	0	0	0	0	0	0	417519.25	441627.16	436359.28	450926.3	516037.3	395517.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
